from_GEOID,to_GEOID,fare,IVTT,transfer_wait_time,access_walk_time,egress_walk_time,total_time,n_transfers
12031016606,12031002101,8.75,60.885349,74,0.148817,0.777299,177.811462,4
12031016606,12031015502,7,47.755157,58.5,0.148817,0.181472,145.585449,3
12031015702,12031016101,7,37.642437,47.5,0.613639,1.28495,126.041031,3
12031015702,12031016606,1.75,16.276064,0,0.525392,0.464855,47.266308,0
12031015702,12031015702,NA,NA,NA,NA,NA,NA,NA
12031015702,12031014205,5.25,74.801041,58.5,0.613639,0.234755,170.149429,2
12031015702,12031014104,5.25,73.057846,58.5,0.613639,1.156172,169.327652,2
12031015702,12031016001,1.75,3.095577,0,0.525392,1.086181,34.70715,0
12031015702,12031012201,7,46.168617,58,0.613639,0.794419,144.57666,3
12031015702,12031014206,5.25,76.548073,58.5,0.613639,0.115328,171.777023,2
12031015702,12031014103,5.25,71.670303,58.5,0.613639,0.694715,167.478653,2
12031015702,12031014428,7,55.742558,47.5,0.613639,0.410102,143.266281,3
12031015702,12031014426,5.25,60.572823,45.5,0.525392,0.66943,143.267639,2
12031015702,12031014416,7,56.726944,67.5,0.525392,0.97,164.722336,3
12031015702,12031014704,3.5,17.457745,35.5,0.613639,0.443069,87.014458,1
12031015702,12031014340,7,100.877785,58.5,0.613639,1.275641,200.267044,3
12031015702,12031001401,8.75,37.281528,58.5,0.613639,0.208069,138.603226,4
12031015702,12031014414,7,57.959869,68.5,0.525392,0.839039,166.824295,3
12031015702,12031016605,3.5,15.960246,33.5,0.525392,0.141014,83.126648,1
12031015702,12031014427,7,65.777885,61.5,0.613639,0.474106,167.365631,3
12031015702,12031014415,5.25,49.590153,48,0.525392,0.228476,134.344009,2
12031015702,12031013524,10.5,88.180222,106.5,0.613639,0.359785,240.653641,5
12031015702,12031010503,7,62.429375,43,0.613639,0.904019,145.947037,3
12031015702,12031011905,8.75,56.006405,89.5,0.613639,0.874279,188.994324,4
12031015702,12031017101,8.75,60.077713,87.5,0.613639,0.213932,190.405273,4
12031015702,12031017102,8.75,61.639053,87.5,0.613639,0.40245,192.155136,4
12031015702,12031015701,7,40.467735,47.5,0.613639,0.018789,127.600166,3
12031015702,12031010306,7,55.881905,43,0.613639,0.976914,139.472443,3
12031015702,12031000102,8.75,85.679146,58,0.613639,0.689901,186.982666,4
12031015702,12031001402,7,34.243549,43.5,0.613639,0.869853,118.227036,3
12031015702,12031015805,7,42.149281,57.5,0.613639,1.171726,140.434631,3
12031015702,12031016731,5.25,49.148342,66.5,0.525392,0.89693,153.070663,2
12031015702,12031016604,3.5,44.592701,37,0.525392,1.226062,116.344147,1
12031015702,12031013906,10.5,96.053009,119,0.613639,1.261382,261.92804,5
12031015702,12031017200,7,24.506718,43.5,0.613639,0.476978,108.097328,3
12031015702,12031010402,8.75,75.592285,58,0.613639,0.482144,176.688065,4
12031015702,12031012704,8.75,74.35675,74,0.613639,0.550958,191.521347,4
12031015702,12031016200,3.5,12.4407,30,0.525392,0.387652,76.353737,1
12031015702,12031012000,8.75,49.665764,89.5,0.613639,0.874362,182.653763,4
12031015702,12031014312,7,53.830524,61.5,0.613639,0.409048,155.353195,3
